,DATETIME,mark,LATITUDE_MDSS_deg,LONGITUDE_MDSS_deg,TWD_MDSS_deg,TWS_MDSS_km_h_1
17305,2026-01-18 05:37:21+00:00,M1,-32.06904162280264,115.72773353196699,211.67894528031283,34.328880000000005
17306,2026-01-18 05:37:22+00:00,M1,-32.069041606038795,115.72773306258061,211.90856654560957,33.93432
17307,2026-01-18 05:37:23+00:00,M1,-32.0690416395664,115.72773125208919,211.8909878841518,33.83568
17308,2026-01-18 05:37:24+00:00,M1,-32.06904457323252,115.7277304138988,211.68773461104138,33.56928
17309,2026-01-18 05:37:25+00:00,M1,-32.069044522941084,115.72773245908282,211.66795861690122,33.66864
17310,2026-01-18 05:37:26+00:00,M1,-32.06904764100908,115.72773220762582,211.68553727835896,33.994080000000004
17311,2026-01-18 05:37:27+00:00,M1,-32.06904619932176,115.72773567773399,211.6855372783594,34.043040000000005
17312,2026-01-18 05:37:28+00:00,M1,-32.069046266376986,115.7277360297742,211.79430524613198,35.35272
17313,2026-01-18 05:37:29+00:00,M1,-32.069047523662434,115.72773514129219,211.9799798577838,35.293679999999995
17314,2026-01-18 05:37:30+00:00,M1,-32.069045679643764,115.72773681767299,212.1513718070008,35.21448
17315,2026-01-18 05:37:31+00:00,M1,-32.06904388591648,115.72773884609342,212.29529709768957,35.26632
17316,2026-01-18 05:37:32+00:00,M1,-32.069043198600426,115.7277353592216,212.43592638935496,34.90056
17317,2026-01-18 05:37:33+00:00,M1,-32.06904207542538,115.72773426957421,212.4062623981446,34.843680000000006
17318,2026-01-18 05:37:34+00:00,M1,-32.0690433830023,115.7277311850338,212.39088106936862,34.77888
17319,2026-01-18 05:37:35+00:00,M1,-32.069042209535844,115.727730900049,212.376598406934,34.5312
17320,2026-01-18 05:37:36+00:00,M1,-32.06904276274143,115.7277328614146,212.30079042939542,34.36847999999999
17321,2026-01-18 05:37:37+00:00,M1,-32.06904294714332,115.72773296199742,212.2612384411146,34.29
17322,2026-01-18 05:37:38+00:00,M1,-32.06904383562504,115.72773316316339,212.23377178258602,34.3944
17323,2026-01-18 05:37:39+00:00,M1,-32.06904418766497,115.72773317992718,212.1821344645528,34.28928
17324,2026-01-18 05:37:40+00:00,M1,-32.069046366959824,115.72773210704341,212.10852381969661,34.2324
